epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,765.346,1.0008,1.29009,0.71313,1.03749,0.79753,0.63798,0.69696,0.51815,0.78665,0.63052,0.66114,0.48257,1.45466,2.3061,1.16352,1.17351,0.00103987,0.00103987,0.00103987
59,778.832,1.01408,1.3424,0.71636,1.04049,0.75191,0.64384,0.68987,0.51584,0.73097,0.62676,0.65244,0.48711,1.44093,2.32182,1.26298,1.15775,0.00102887,0.00102887,0.00102887
60,791.615,0.99605,1.27941,0.69653,1.04211,0.76063,0.66121,0.69943,0.52485,0.74311,0.63937,0.65658,0.49101,1.44451,2.35345,1.19949,1.16995,0.00101787,0.00101787,0.00101787
61,804.099,0.99263,1.28409,0.68882,1.03516,0.76108,0.63931,0.69052,0.52031,0.75206,0.62546,0.64248,0.48306,1.43747,2.40935,1.19065,1.17247,0.00100687,0.00100687,0.00100687
62,816.834,0.99308,1.30507,0.68758,1.02717,0.67461,0.61945,0.66305,0.48201,0.787,0.54029,0.62988,0.4569,1.4958,2.34848,1.21731,1.18201,0.000995866,0.000995866,0.000995866
63,829.822,0.98218,1.2855,0.68074,1.02265,0.78325,0.63089,0.69054,0.51955,0.78826,0.61772,0.65469,0.48286,1.44831,2.36537,1.1378,1.17951,0.000984864,0.000984864,0.000984864
64,843.081,0.97691,1.26823,0.69259,1.02338,0.79649,0.64007,0.698,0.51424,0.78489,0.61369,0.65633,0.48226,1.44814,2.32788,1.16488,1.18152,0.000973861,0.000973861,0.000973861
65,855.797,0.97695,1.28951,0.67851,1.0227,0.75491,0.63958,0.69496,0.51862,0.74381,0.60753,0.6418,0.47954,1.45779,2.44404,1.29033,1.18216,0.000962859,0.000962859,0.000962859
66,868.625,0.95841,1.2627,0.67837,1.01067,0.78015,0.61769,0.6855,0.51932,0.78988,0.59103,0.63785,0.47457,1.44293,2.53804,1.24167,1.1698,0.000951857,0.000951857,0.000951857
67,881.613,0.96767,1.25453,0.67155,1.02258,0.83135,0.59448,0.69669,0.52192,0.81618,0.57838,0.65282,0.48267,1.4473,2.32234,1.16368,1.16901,0.000940855,0.000940855,0.000940855
68,894.368,0.95474,1.27755,0.66965,1.01655,0.74734,0.6651,0.70829,0.52733,0.75207,0.62172,0.66294,0.49157,1.44807,2.37906,1.13219,1.15802,0.000929853,0.000929853,0.000929853
69,907.808,0.95077,1.23605,0.65659,1.012,0.80296,0.58805,0.68199,0.50525,0.7857,0.56812,0.63263,0.47777,1.43373,2.38444,1.2966,1.16193,0.00091885,0.00091885,0.00091885
70,920.376,0.96003,1.24096,0.66774,1.01742,0.78445,0.65921,0.70182,0.52777,0.78408,0.63236,0.6606,0.49206,1.45494,2.42221,1.17826,1.16686,0.000907848,0.000907848,0.000907848
71,933.061,0.95185,1.23837,0.66261,1.01404,0.77906,0.66222,0.69133,0.51762,0.7555,0.6327,0.65221,0.48815,1.4634,2.43612,1.26743,1.18769,0.000896846,0.000896846,0.000896846
72,946.297,0.93549,1.24102,0.66139,1.00653,0.80184,0.61592,0.68738,0.51552,0.79443,0.60254,0.64951,0.48403,1.48666,2.42258,1.3041,1.17769,0.000885844,0.000885844,0.000885844
73,958.779,0.94763,1.21708,0.64958,1.01819,0.82813,0.60337,0.67448,0.50749,0.80556,0.59113,0.63667,0.47708,1.47043,2.33544,1.29145,1.18773,0.000874842,0.000874842,0.000874842
74,971.455,0.92615,1.20955,0.62847,1.00381,0.75559,0.62577,0.68114,0.50396,0.7768,0.58263,0.63289,0.47272,1.4777,2.53685,1.41173,1.19388,0.000863839,0.000863839,0.000863839
75,984.085,0.9304,1.2145,0.63686,1.00438,0.77807,0.6437,0.69231,0.52225,0.76333,0.63322,0.66335,0.4915,1.44686,2.37366,1.19334,1.16444,0.000852837,0.000852837,0.000852837
76,997.523,0.93135,1.24518,0.63293,0.99737,0.78291,0.67536,0.7054,0.52856,0.7608,0.65983,0.66803,0.49682,1.46009,2.37665,1.18707,1.1809,0.000841835,0.000841835,0.000841835
77,1012.66,0.92455,1.1868,0.64408,1.00821,0.80544,0.61836,0.69588,0.51926,0.81114,0.58867,0.65061,0.49042,1.45114,2.51487,1.29824,1.17988,0.000830833,0.000830833,0.000830833
78,1025.13,0.91393,1.21524,0.62832,0.99656,0.80026,0.63896,0.69989,0.52781,0.78867,0.61838,0.66002,0.4935,1.44558,2.3994,1.21562,1.17713,0.000819831,0.000819831,0.000819831
79,1037.86,0.9061,1.19677,0.61875,0.99785,0.82935,0.60194,0.6933,0.52242,0.81459,0.59646,0.65681,0.4842,1.45041,2.37414,1.26659,1.17539,0.000808828,0.000808828,0.000808828
80,1050.86,0.90047,1.17812,0.61561,0.99768,0.81154,0.64254,0.7105,0.53159,0.80878,0.59783,0.65536,0.49185,1.47965,2.55347,1.35392,1.18376,0.000797826,0.000797826,0.000797826
81,1063.61,0.8909,1.16761,0.60971,0.99303,0.81251,0.58124,0.67419,0.50832,0.79698,0.5765,0.63898,0.48051,1.46785,2.58792,1.33468,1.17381,0.000786824,0.000786824,0.000786824
82,1076.42,0.92323,1.24983,0.62544,0.9859,0.77303,0.65515,0.70127,0.5225,0.80905,0.59717,0.6529,0.49103,1.46127,2.4738,1.24231,1.17501,0.000775822,0.000775822,0.000775822
83,1089.57,0.88912,1.17596,0.60396,0.9872,0.77885,0.62239,0.67924,0.52085,0.74701,0.60519,0.62854,0.4792,1.46529,2.50697,1.37579,1.17477,0.00076482,0.00076482,0.00076482
84,1103.13,0.86839,1.12634,0.58863,0.98928,0.796,0.61423,0.67905,0.51765,0.80399,0.60091,0.64929,0.48442,1.47877,2.58874,1.31427,1.17458,0.000753817,0.000753817,0.000753817
